模型,频次,日期,gross_profit,cost,net_profit
DeepSeek-V3,hourly,2025-12-01,-38.46,110.04,-148.49
gpt-5.2,hourly,2025-12-01,-69.89,108.67,-178.56
DeepSeek-V3,daily,2025-12-02,-0.0,104.2,-104.2
DeepSeek-V3,hourly,2025-12-02,18.3,111.27,-92.97
gpt-5.2,daily,2025-12-02,0.0,104.29,-104.29
gpt-5.2,hourly,2025-12-02,15.88,110.45,-94.57
DeepSeek-V3,daily,2025-12-03,-43.33,104.41,-147.73
DeepSeek-V3,hourly,2025-12-03,-36.36,113.51,-149.87
gpt-5.2,daily,2025-12-03,-65.52,104.54,-170.06
gpt-5.2,hourly,2025-12-03,-76.3,112.48,-188.78
DeepSeek-V3,daily,2025-12-04,-47.57,104.62,-152.19
DeepSeek-V3,hourly,2025-12-04,87.56,114.74,-27.18
gpt-5.2,daily,2025-12-04,48.01,104.88,-56.87
gpt-5.2,hourly,2025-12-04,20.33,121.38,-101.04
DeepSeek-V3,daily,2025-12-05,-71.15,107.83,-178.98
DeepSeek-V3,hourly,2025-12-05,85.06,115.97,-30.91
gpt-5.2,daily,2025-12-05,43.93,105.16,-61.23
gpt-5.2,hourly,2025-12-05,-9.3,123.6,-132.89
DeepSeek-V3,daily,2025-12-08,-71.55,110.03,-181.58
DeepSeek-V3,hourly,2025-12-08,104.92,121.2,-16.28
gpt-5.2,daily,2025-12-08,37.13,105.44,-68.31
gpt-5.2,hourly,2025-12-08,-73.44,138.78,-212.22
DeepSeek-V3,daily,2025-12-09,-50.02,110.24,-160.27
DeepSeek-V3,hourly,2025-12-09,64.19,124.43,-60.24
gpt-5.2,daily,2025-12-09,68.17,105.7,-37.54
gpt-5.2,hourly,2025-12-09,-78.86,141.88,-220.74
DeepSeek-V3,daily,2025-12-10,-81.52,110.45,-191.98
DeepSeek-V3,hourly,2025-12-10,75.54,125.67,-50.14
gpt-5.2,daily,2025-12-10,14.19,106.09,-91.9
gpt-5.2,hourly,2025-12-10,-108.32,144.29,-252.61
DeepSeek-V3,daily,2025-12-11,-98.35,110.66,-209.01
DeepSeek-V3,hourly,2025-12-11,55.62,127.91,-72.29
gpt-5.2,daily,2025-12-11,-110.14,106.39,-216.53
gpt-5.2,hourly,2025-12-11,-194.66,146.35,-341.01
DeepSeek-V3,daily,2025-12-12,-100.32,110.86,-211.19
DeepSeek-V3,hourly,2025-12-12,7.27,131.15,-123.88
gpt-5.2,daily,2025-12-12,-69.55,106.66,-176.21
gpt-5.2,hourly,2025-12-12,-254.78,148.25,-403.03
DeepSeek-V3,daily,2025-12-15,-65.17,111.07,-176.25
DeepSeek-V3,hourly,2025-12-15,-11.92,134.37,-146.29
gpt-5.2,daily,2025-12-15,-163.61,106.94,-270.55
gpt-5.2,hourly,2025-12-15,-384.0,152.12,-536.13
DeepSeek-V3,daily,2025-12-16,-216.1,111.28,-327.38
DeepSeek-V3,hourly,2025-12-16,-173.91,135.6,-309.51
gpt-5.2,daily,2025-12-16,-285.46,107.24,-392.7
gpt-5.2,hourly,2025-12-16,-585.68,155.22,-740.9
DeepSeek-V3,daily,2025-12-17,-158.25,111.48,-269.73
DeepSeek-V3,hourly,2025-12-17,-70.57,136.83,-207.41
gpt-5.2,daily,2025-12-17,-216.13,107.55,-323.68
gpt-5.2,hourly,2025-12-17,-466.03,158.27,-624.3
DeepSeek-V3,daily,2025-12-18,-172.9,111.69,-284.59
DeepSeek-V3,hourly,2025-12-18,-129.61,138.07,-267.69
gpt-5.2,daily,2025-12-18,-227.64,107.85,-335.5
gpt-5.2,hourly,2025-12-18,-572.49,161.22,-733.71
DeepSeek-V3,daily,2025-12-19,-148.95,113.9,-262.85
DeepSeek-V3,hourly,2025-12-19,-8.14,143.31,-151.45
gpt-5.2,daily,2025-12-19,-109.53,108.15,-217.68
gpt-5.2,hourly,2025-12-19,-540.39,163.13,-703.52
DeepSeek-V3,daily,2025-12-22,-142.47,114.1,-256.57
DeepSeek-V3,hourly,2025-12-22,61.79,146.55,-84.76
gpt-5.2,daily,2025-12-22,34.79,108.41,-73.62
gpt-5.2,hourly,2025-12-22,-298.89,165.09,-463.98
DeepSeek-V3,daily,2025-12-23,-179.35,114.31,-293.66
DeepSeek-V3,hourly,2025-12-23,35.44,147.78,-112.34
gpt-5.2,daily,2025-12-23,10.89,109.01,-98.12
gpt-5.2,hourly,2025-12-23,-363.59,166.91,-530.5
DeepSeek-V3,daily,2025-12-24,-152.55,114.52,-267.07
DeepSeek-V3,hourly,2025-12-24,109.77,151.01,-41.24
gpt-5.2,daily,2025-12-24,151.28,109.31,41.97
gpt-5.2,hourly,2025-12-24,-159.0,176.91,-335.91
DeepSeek-V3,daily,2025-12-26,-119.33,114.72,-234.05
DeepSeek-V3,hourly,2025-12-26,129.15,156.24,-27.09
gpt-5.2,daily,2025-12-26,210.62,109.6,101.02
gpt-5.2,hourly,2025-12-26,-115.62,178.94,-294.56
DeepSeek-V3,daily,2025-12-29,-150.25,116.93,-267.18
DeepSeek-V3,hourly,2025-12-29,21.29,157.47,-136.18
gpt-5.2,daily,2025-12-29,127.92,109.9,18.02
gpt-5.2,hourly,2025-12-29,-201.96,180.98,-382.94
DeepSeek-V3,daily,2025-12-30,-145.58,117.14,-262.72
DeepSeek-V3,hourly,2025-12-30,17.29,163.71,-146.43
gpt-5.2,daily,2025-12-30,137.51,110.2,27.31
gpt-5.2,hourly,2025-12-30,-180.78,182.86,-363.64
DeepSeek-V3,daily,2025-12-31,-136.85,119.35,-256.2
DeepSeek-V3,hourly,2025-12-31,24.4,167.95,-143.55
gpt-5.2,daily,2025-12-31,206.93,110.5,96.43
gpt-5.2,hourly,2025-12-31,-142.7,188.03,-330.74
